SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,
1.00,YAKAMOZ GROUP,1. BORNOVA BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates","TRUWAA INSAAT IS MAKINALARI PLASTIK SANAYI VE DIS TICARET LIMITED - ISTANBUL, TURKEY",
,,2. YAKAMOZ GENERAL TRADING LLC,"Dubai, United Arab Emirates",YAKOMOZ PETROKIMYA URUNLERI SANAYI DIS TICARET LIMITED SIRKETI - ISTANBUL TURKEY,
,,3. STIRLING BRIDGE CHEMICALS TRADING L.L.C,"Dubai, United Arab Emirates","STIRLING BRIDGE GENERAL TRADING - Haikou, China",
,,4. TRUVA GENERAL TRADING LLC,"Dubai, United Arab Emirates","TRUVA GENERAL TRADING -- Shanghai, China",
,,5. SERAY FURNITURES TRADING LLC,"Dubai, United Arab Emirates","SERAY GENERAL TRADING  - Jiangsu, China",
,,6. NORTH SEA FZE,"Dubai, United Arab Emirates","ANHUI ANSON PETROCHEMICAL EQUIPMENT CO LTD- JIANGSU, CHINA",
,,7. MATTERHORN FZE,"Sharjah, United Arab Emirates","ANGELMERCY GENERAL TRADING CO - Zhejiang,China",
,,8. MNR TRADING FZE,"Sharjah, United Arab Emirates","Anhui Chi-Tech General Trading Co. Ltd - Anhui, China",
2.00,BEYLERBEYI GROUP,1. BEYLERBEYI GENERAL TRADING L.L.C,"Dubai, United Arab Emirates","TIANJIN KAIGUI MACHINERY CO.LTD,TIANJIN, CHINA",
,,2. KANNUR INDUSTRIAL PLANT EQUIPMENT & SPARE PARTS TRADING L.L.C,"Dubai, United Arab Emirates","Kannur General Trading S.A. - Andalucia, Spain",
,,3. ELYSEE GENERAL TRADING LLC,"Dubai, United Arab Emirates","Shanghai Lingguang Trading co., Ltd,  Shanghai - China",
,,4. D E V INDUSTRIAL PLANT EQUIPMENT & SPARE PARTS TRADING L.L.C,"Dubai, United Arab Emirates","SHANDONG ZHAOJIN MOTIAN CO., LTD .  SHANDONG, CHINA",
,,5. YEDI TEPE BUILDING MATERIALS TRADING L.L.C,"Dubai, United Arab Emirates","GRAVINA TUFI - PUGLIA, ITALY",
,,6. BEYZADE GENERAL TRADING L.L.C.,"Dubai, United Arab Emirates",SHANGHAI SEVEN BENEVOLENCE INTERNATIONAL TRADE CO. LTD.,
,,7. BEYZADE PETRA OLIUM EQUIPTECH FZE,"Dubai, United Arab Emirates","LCL PETROLEUM PTE LTD - SINGAPORE, SINGAPORE",
3.00,MARCELO GROUP,1. DAY & NIGHT GENERAL TRADING L.L.C,"Dubai, United Arab Emirates","KINSAJASA SDN. BHD ( Sarawak, Malaysia)",
,,2. SAND BOX TRADING L.L.C,"Dubai, United Arab Emirates","SANDBOX GENERAL TRADING LIMITED - HONGKONG, CHINA",
,,3. MARCELLO GENERAL TRADING L.L.C,"Dubai, United Arab Emirates","FOSHAN JINHUI ALUMINUM PLATE CURTAIN WALLS CO., LTD - Guangdong, China",
,,4. PRECISION VISION HEAVY EQUIPMENT & MACHINERY TRADING L.L.C,"Dubai, United Arab Emirates",PRECISION VISION EQUIPMENT SDN BHD ( PENANG MALAYSIA),
,,5. STRONG VIEW TRADING FZE,"Ras Al Khaimah, United Arab Emirates","ZHONGSHAN LIQIN TRADE CO LTD - Guangdong, China",
,,6. HORIZONE LINE GENERAL TRADING LLC,"Dubai, United Arab Emirates","TANGSHAN YIFEI TRADING CO.-TANGSHAN CITY,CHINA",
4.00,GAZAL,AYON AL GHAZAL GENERAL TRADING LLC,"Dubai, United Arab Emirates","BOTOU XINBO IMPORT & EXPORT CO., LTD, HEBEI, CHINA",
5.00,TEKNONEFT,1. NOOR AL OFOQ GENERAL TRADING LLC,"Dubai, United Arab Emirates","SHAROF RASHIDOV EXPORT LLC - TASHKENT, UZBEKISTAN",
,,2. TEKNONEFT FZE,"Dubai, United Arab Emirates","SHAROF RASHIDOV EXPORT LLC - TASHKENT, UZBEKISTAN",
,,3. SMART STAR MACHINERY TRADING LLC,"Dubai, United Arab Emirates","KAITO CONSTRUCTION MACHINERY CO LTD - JIANGSU, CHINA",
,,4. TEKNONEFT GENERAL TRADING LLC,,"SHAROF RASHIDOV EXPORT LLC - TASHKENT, UZBEKISTAN",
6.00,NOSHAN,1. BERIVAN GENERAL TRADING LLC,"Dubai, United Arab Emirates","QINGDAO JIAHEXIN STEEL CO., LTD ,  QINGDAO, CHINA",
,,2. MAYAN GENERAL TRADING LLC,"Dubai, United Arab Emirates","ONAHAMA PRETROLEUM CO., LTD - FUKUSHIMA, JAPAN",
,,3. NOSHAN GENERAL TRADING LLC. ,"Dubai, United Arab Emirates","TARTIIB GENERAL TRADING SDN BHD - KUALA LUMPUR, MALAYSIA",
,,4. ALAM INTERNATIONAL FZE,"Dubai, United Arab Emirates","SINOCHEM GROUP--Beijing, China",
,,5.  EAST STAR BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates","WAI TAT TIMBER & HARDWARE TRADING- Selangor, Malaysia",
7.00,PHENOMENA,1. PHENOMENA INTERNATIONAL GENERAL TRADING LLC,"Dubai, United Arab Emirates","CHANGZOU MAITE DECORATIVE MATERIAL CO., LTD. - JIANGSU SHENG, CHINA",
,,2. PHENOMENA ELECTRONICS TRADING LLC,"Dubai, United Arab Emirates","POWER ELECTRONICS - ESPANA, Barcelona, Spain",
,,3. MAGNUM IMPEX FZE,"Sharjah, United Arab Emirates","YUTRON TECHNOLOGY COMPANY LIMITED   Hong Kong, China",
,,4. PHENOMENA REPACKING & REFILLING SERVICES LLC,"Dubai, United Arab Emirates","Zhangjiagang Mars Packing Machinery Co., Ltd - Jiangsu, China",
8.00,ASMARA,1. ASMARA FUTURE MEDICAL EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates","ASMARA FUTURE MEDICAL EQUIPMENT - COPENHAGEN, DENMARK",
,,2. JVI GLOBAL FZE,"Ajman, United Arab Emirates","KIRII CONSTRUCTION MATERIALS CO., LTD - CHIYODA-KU, TOKYO JAPAN",
,,3. STAR INTERNATIONAL FZE,"Dubai, United Arab Emirates","ZEOCHEM AG - SEESTRASSE, SWITZERLAND",
,,4. SOFTEDGE MIDDLE EAST F.Z.E,,,
,,STAR INTERNATIONAL FZE,,,
9.00,GOLDEN BOX,1. STONES NET GENERAL TRADING - F.Z.E,"Dubai, United Arab Emirates","XIAMEN UNION STONE CO LTD. - Fujian, China",
,,2. SAND NET GENERAL TRADING-F.Z.E,"Dubai, United Arab Emirates",SHANDONG YURUI INTERNATIONAL TRADING CO LTD,
,,3. NJMAT AL BALAD GENERAL TRADING,"Dubai, United Arab Emirates","ZEOCHEM AG -   SEESTRASSE, SWITZERLAND",
,,4. MEGA SUN LLC,"Dubai, United Arab Emirates","BRIGHT FOOD GLOBAL DISTRIBUTION CO. LTD. - SHANGHAI, CHINA",
,,5. MEGA MOON LLC,"Dubai, United Arab Emirates","HANGZHOU WAHAHA GROUP CO LTD - HANGZHOU, CHINA",
10.00,RECIFI,1. RECIFE GENERAL TRADING L.L.C,,,
,,2. ALMERIA COMMERCIAL BROKERS L.L.C,,,
11.00,GOHARI,1. GOHARY GENERAL TRADING LLC,"Dubai, United Arab Emirates","KUKA (HK) TRADE CO. LIMITED - HONGKONG, CHINA",
,,2. GOLDEN WORDS FZE,"Dubai, United Arab Emirates","PENTEX TRADING COMPANY - Muara, Brunei DaruSsalam",
,,3. AMAZING HOUSE GENERAL TRADING LLC,"Dubai, United Arab Emirates","PENTEX TRADING COMPANY - Muara, Brunei DaruSsalam",
12.00,NIZIP GROUP,1. NIZIP GENERAL TRADING LLC,"Dubai, United Arab Emirates","ACC LIMITED - MUMBAI, INDIA",
,,2. SAMOL GENERAL TRADING LLC,"Dubai, United Arab Emirates",SHANGHAI SA GA INTERNATIONAL TRADING CO LTD. - SHANGHAI CHINA,
13.00,MASADER,1. AL SHERAA AL AHMAR GENERAL TRADING LLC,"Dubai, United Arab Emirates",,
,,2. WILLOWY GENERAL TRADING LLC,"Dubai, United Arab Emirates",,
,,3. ACCEPTOR GENERAL TRADING LLC,,,
,,4. RED CIRCLE GENERAL TRADING LLC,,,
,,5. SACKS STEEL TRADING LLC,"Dubai, United Arab Emirates",,
,,6. SILVER BOX GENERAL TRADING L.L.C.,,,
,,7. TRIANGLE PETROCHEMICALS TRADING LLC,,,
,,8. LEEBAZ GENERAL TRADING CO CO LLC,,,
,,9. SHINY CIRCLE GENERAL TRADING LLC,,,
,,10. STARTUS PETROCHEMICALS TRADING FZE,"Dubai, United Arab Emirates",,
14.00,NORDISK,1. OCEAN TRADING LLC,"Dubai, United Arab Emirates","EVER GREEN MAKINA SANAYI IC VE DIS TICARET LIMITED SIRKETI - ISTANBUL, TURKEY",
