refrence,COMPANY NAME,CO.City,SOURCE COMPANY,SourceCo.City,TYPE OF TRANSACTION,MONTH,TYPE OFProducts,date,amount,currency,exporter/repExporter,country
G-BBY-0108,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,16953,EURO, BREACKER AG   ,SWITZERLAND
G-BBY-0130,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,27/01/2019,120670,EURO, CHEMEM COMPANY LIMITED   ,CHINA
G-BBY-0007,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,10/1/2019,192051,AED, CIELO OESTE GENERAL TRADING FZE                      ,"DUBAI, UAE"
G-BBY-0053,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,37514,EURO, CIOTOLA S.R.L   ,ITALY
G-BBY-0116,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,1557,EURO, CRYSMIT PHOTONICS LIMITED,CHINA
G-BBY-0111,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,8502,EURO, FALLER BARS LIMITED       ,UNITED KINGDOM
G-BBY-0038,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,73515,EURO, GIT HONG KONG LIMITED      ,HONGKONG
G-BBY-0075,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,37000,EURO, GREEN INDUSTRIES (HONG KONG) LIMITED,"HONGKONG, CHINA"
G-BBY-0103,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,106243,EURO, HAINING FUXING COMPUND NEW MATERIAL CO LTD,CHINA
G-BBY-0068,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,29120,EURO, KUIBURI FRUIT CANNING CO- LTD,THAILAND
G-BBY-0126,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,37700,EURO, LAMIGRAF S.A.U   ,SPAIN
G-BBY-0054,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,29940,EURO, MA. TE. CO. SRL  ,ITALY
G-BBY-0055,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,16885,EURO, MA. TE. CO. SRL  ,ITALY
G-BBY-0056,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,20190,EURO, MA. TE. CO. SRL  ,ITALY
G-BBY-0083,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,15/01/2019,14551,EURO, MANTRADE CORPORATION LIMITED  ,"HONGKONG, CHINA"
G-BBY-0133,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,29/01/2019,173267,EURO, MARFRIG GLOBAL FOODS S A,BRAZIL
G-BBY-0134,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,29/01/2019,214222,EURO, MARFRIG GLOBAL FOODS S A,BRAZIL
G-BBY-0140,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,30/01/2019,213244,EURO, MARFRIG GLOBAL FOODS S A      ,BRAZIL
