,COMPANY NAME,,BEYLERBEYI GENERAL TRADING LLC,,,,,
,SOURCE COMPANY,,"Tianjin Kaigui Machinery Co.LTD,Tianjin, China",,,,,
,TYPE OF TRANSACTION,,GOODS IN TRUST,,,,,
,MONTH,,JANURARY  2019,,,,,
,SUGGESTIONS:,,KINDLY USE EXPORTERS FROM ,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,G-BBY-0108,24.01.2019,16953.00,EURO, BREACKER AG   ,SWITZERLAND,ENBD,
,G-BBY-0130,27.01.2019,120670.00,EURO, CHEMEM COMPANY LIMITED   ,CHINA,ENBD,
,G-BBY-0007,10.01.2019,192051.00,AED, CIELO OESTE GENERAL TRADING FZE                      ,"DUBAI, UAE",ENBD,
,G-BBY-0053,08.01.2019,37514.00,EURO, CIOTOLA S.R.L   ,ITALY,ENBD,
,G-BBY-0116,24.01.2019,1557.00,EURO, CRYSMIT PHOTONICS LIMITED,CHINA,ENBD,
,G-BBY-0111,24.01.2019,8502.00,EURO, FALLER BARS LIMITED       ,UNITED KINGDOM,ENBD,
,G-BBY-0038,06.01.2019,73515.00,EURO, GIT HONG KONG LIMITED      ,HONGKONG,ENBD,
,G-BBY-0075,12.01.2019,37000.00,EURO, GREEN INDUSTRIES (HONG KONG) LIMITED,"HONGKONG, CHINA",ENBD,
,G-BBY-0103,21.01.2019,106243.00,EURO, HAINING FUXING COMPUND NEW MATERIAL CO LTD,CHINA,ENBD,
,G-BBY-0068,12.01.2019,29120.00,EURO," KUIBURI FRUIT CANNING CO, LTD",THAILAND,ENBD,
,G-BBY-0126,26.01.2019,37700.00,EURO, LAMIGRAF S.A.U   ,SPAIN,ENBD,
G-BBY-0056-CL,G-BBY-0054,08.01.2019,29940.00,EURO, MA. TE. CO. SRL  ,ITALY,ENBD,
,G-BBY-0055,08.01.2019,16885.00,EURO, MA. TE. CO. SRL  ,ITALY,ENBD,
,G-BBY-0056,08.01.2019,20190.00,EURO, MA. TE. CO. SRL  ,ITALY,ENBD,
,G-BBY-0083,15.01.2019,14551.00,EURO, MANTRADE CORPORATION LIMITED  ,"HONGKONG, CHINA",ENBD,
G-BBY-0140-CL,G-BBY-0133,29.01.2019,173267.00,EURO, MARFRIG GLOBAL FOODS S A,BRAZIL,ENBD,
,G-BBY-0134,29.01.2019,214222.00,EURO, MARFRIG GLOBAL FOODS S A,BRAZIL,ENBD,
,G-BBY-0140,30.01.2019,213244.00,EURO, MARFRIG GLOBAL FOODS S A      ,BRAZIL,ENBD,
,G-BBY-0086,15.01.2019,24472.00,EURO, MONNO CORPORATION ,BANGALADESH,ENBD,
G-BBY-0081-CL,G-BBY-0070,12.01.2019,31739.00,EURO, NINGBO ACCU ELECTRIC DEVICES INDUSTRY CO LTD,CHINA,ENBD,
,G-BBY-0081,14.01.2019,43190.00,EURO, NINGBO ACCU ELECTRIC DEVICES INDUSTRY CO LTD,CHINA,ENBD,
,G-BBY-0051,08.01.2019,28000.00,EURO, NOVATEK GENERAL TRADING LLC ,"DUBAI, UAE",ENBD,
,G-BBY-0045,06.01.2019,36996.00,EURO, PAREX WARENHANDELSGESELLSCHAFT MBH,AUSTRIA,ENBD,
,G-BBY-0021,21.01.2019,340710.00,AED, PHOENIX TYRES TRADING F.Z.E  ,"DUBAI, UAE",ENBD,
,G-BBY-0112,24.01.2019,2799.00,EURO, SAURER TECHNOLOGIES GMBH & CO. KG  ,GERMANY,ENBD,
,G-BBY-0097,21.01.2019,34345.00,EURO, SH CHEMICAL GROUP LIMITED,CHINA,ENBD,
,G-BBY-0029,05.01.2019,63860.00,EURO, SHENZHEN CHENSU INTERNATIONAL TRADE CO. LTD,CHINA,ENBD,
G-BBY-0018-CL,G-BBY-0017,21.01.2019,375966.00,AED, SYED NAEEM GENERAL TRADING CO LLC   ,"DUBAI, UAE",ENBD,
,G-BBY-0018,21.01.2019,375966.00,AED, SYED NAEEM GENERAL TRADING CO LLC   ,"DUBAI, UAE",ENBD,
,G-BBY-0040,06.01.2019,51760.00,EURO, WEIHUI TRADING CO LIMITED  ,CHINA,ENBD,
,G-BBY-0123,26.01.2019,30000.00,EURO, YILI (HONG KONG) TECHNOLOGY CORPORATION LTD,"HONGKONG, CHINA",ENBD,
,G-BBY-0093,21.01.2019,13112.00,EURO,ABP ELECTRONICS LIMITED  ,CHINA,ENBD,
,G-BBY-0031,05.01.2019,60630.00,EURO,ADRIATICA SPA              ,ITALY,ENBD,
,G-BBY-0084,15.01.2019,13000.00,EURO,AHYAN JUTE MILLS LIMITED           ,BANGALADESH,ENBD,
,G-BBY-0096,21.01.2019,12019.00,EURO,AISPEED INDUSTRY LIMITED ,CHINA,ENBD,
,G-BBY-0030,05.01.2019,29820.00,EURO,AKIJ JUTE MILLS LTD,BANGALADESH,ENBD,
,G-BBY-0060,08.01.2019,37897.00,EURO,ANOTEC GMBH,GERMANY,ENBD,
,G-BBY-0005,06.01.2019,1149512.00,AED,ANVERALLY & SONS PVT LTD  ,SRILANKA,ENBD,
G-BBY-0034-CL,G-BBY-0033,05.01.2019,95551.00,EURO,ARGOS IMPORT & EXPORT CO LTD   ,CHINA,ENBD,
,G-BBY-0034,05.01.2019,76440.00,EURO,ARGOS IMPORT & EXPORT CO LTD   ,CHINA,ENBD,
,G-BBY-0127,26.01.2019,28098.00,EURO,ARKO ENTERPRISE,"MUMBAI, INDIA",ENBD,
,G-BBY-0027,31.01.2019,474407.00,AED,ARMACO GENERAL TRADING LLC,"DUBAI, UAE",ENBD,
,G-BBY-0066,12.01.2019,9250.00,EURO,AVIN ELECTRONIC TECHNOLOGY CO.LTD ,"HONGKONG, CHINA",ENBD,
,G-BBY-0094,21.01.2019,72028.00,EURO,BENTLEY INNOMED GMBH ,GERMANY,ENBD,
,G-BBY-0013,19.01.2019,1785241.00,AED,BEYZADE GENERAL TRADING,"DUBAI, UAE",ENBD,
,G-BBY-0014,19.01.2019,1563018.00,AED,BEYZADE GENERAL TRADING,"DUBAI, UAE",ENBD,
,G-BBY-0015,19.01.2019,1651741.00,AED,BEYZADE GENERAL TRADING,"DUBAI, UAE",ENBD,
,G-BBY-0119,26.01.2019,27800.00,EURO,BIOCHEMICAL SYSTEMS INTERNATIONAL S.P.A,ITALY,ENBD,
,G-BBY-0142,09.01.2019,165972.00,AED,CASH WITHDRAWAL                                   ,,CBD,
,G-BBY-0109,24.01.2019,12411.00,EURO,CHEN WELL (HONG KONG) LIMITED   ,"HONGKONG, CHINA",ENBD,
G-BBY-0050-CL,G-BBY-0041,06.01.2019,70000.00,EURO,"CHIANGRAI FROZEN FOODS CO.,LTD  ",THAILAND,ENBD,
,G-BBY-0049,07.01.2019,70000.00,EURO,"CHIANGRAI FROZEN FOODS CO.,LTD  ",THAILAND,ENBD,
,G-BBY-0050,07.01.2019,69488.00,EURO,"CHIANGRAI FROZEN FOODS CO.,LTD  ",THAILAND,ENBD,
,G-BBY-0114,24.01.2019,11053.00,EURO,"CHINA AMAZONA MACHINERY CO., LIMITED",CHINA,ENBD,
G-BBY-0107-CL,G-BBY-0091,19.01.2019,223108.00,EURO,CHINA OCEAN SHIPPING AGENCY CO LTD,CHINA,ENBD,
,G-BBY-0107,24.01.2019,224350.00,EURO,CHINA OCEAN SHIPPING AGENCY CO LTD,CHINA,ENBD,
,G-BBY-0047,06.01.2019,4573.00,EURO,CNTIC TIANJIN IMPORT & EXPORT CO LTD,CHINA,ENBD,
,G-BBY-0113,24.01.2019,6963.00,EURO,CONTARINI LEOPOLDO SRL   ,ITALY,ENBD,
G-BBY-0117-CL,G-BBY-0117,24.01.2019,22173.00,EURO,D.B INDUSTRIAL LTD   ,U S A,ENBD,
,G-BBY-0079,14.01.2019,40376.00,EURO,D.B INDUSTRIAL LTD           ,U S A,ENBD,
,G-BBY-0074,12.01.2019,39063.00,EURO,DBI TRADING AND CONSULTING LIMITED   ,"HONGKONG, CHINA",ENBD,
,G-BBY-0110,24.01.2019,4144.00,EURO,DELTAMIX INTERNATIONAL TRADING ,CHINA,ENBD,
,G-BBY-0065,12.01.2019,7400.00,EURO,DESITIN ARZNEIMITTEL GMBH  ,GERMANY,ENBD,
,G-BBY-0057,08.01.2019,64440.00,EURO,DIHB DEUTSCH-INTERNATIONALE HANDELSBEZIEHUNGEN GMBH,GERMANY,ENBD,
,G-BBY-0071,12.01.2019,21487.00,EURO,EUROPEAN MUD COMPANY AS,NORWAY,ENBD,
,G-BBY-0137,29.01.2019,200982.00,EURO,EZM EDELSTAHLZIEHEREI MARK GMBH,GERMANY,ENBD,
,G-BBY-0089,19.01.2019,283798.00,EURO,FASSKA PAR S.A,BELGIUM,ENBD,
,G-BBY-0032,05.01.2019,14520.00,EURO,FLUIDMASTER PREDELAVA PLASTIKE D.O.O.,SLOVENIA,ENBD,
,G-BBY-0019,21.01.2019,294895.00,AED,GALAXY SUN TELECOM LLC    ,"DUBAI, UAE",ENBD,
,G-BBY-0036,05.01.2019,115000.00,EURO,GIOELLI DI MENICHELLI FRANCO AND C SRL  ,ITALY,ENBD,
,G-BBY-0115,24.01.2019,8535.00,EURO,GULF LINE INTERNATIONAL TRADING COMPANY LLC,"DUBAI, UAE",ENBD,
G-BBY-0009-CL,G-BBY-0008,15.01.2019,136235.00,AED,HABIB MUHAMMAD SIDDIQUE FOOD AND BEVERAGE LLC,"DUBAI, UAE",ENBD,
,G-BBY-0009,15.01.2019,280217.00,AED,HABIB MUHAMMAD SIDDIQUE FOOD AND BEVERAGE LLC,"DUBAI, UAE",ENBD,
,G-BBY-0124,26.01.2019,22689.00,EURO,"HK HUA CHENG ELECTRONICS CO., LTD      ",CHINA,ENBD,
,G-BBY-0044,06.01.2019,5488.00,EURO,ITAL PHARCHEM S.R.L ,ITALY,ENBD,
,G-BBY-0121,26.01.2019,37226.00,EURO,JOINT RESOURCES TECHNOLOGY DEVELOPMENT LTD,"HONGKONG, CHINA",ENBD,
,G-BBY-0095,21.01.2019,35303.00,EURO,KAIDA HOLDING LIMITED,CHINA,ENBD,
