SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,Sourcelocation,,LIST OF COMPANY
1,YAKAMOZ GROUP,BORNOVA BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates",TRUWAA INSAAT IS MAKINALARI PLASTIK SANAYI VE DIS TICARET LIMITED,"Istanbul, Turkey",,BORNOVA BUILDING MATERIALS TRADING LLC
1,YAKAMOZ GROUP,YAKAMOZ GENERAL TRADING LLC,"Dubai, United Arab Emirates",YAKOMOZ PETROKIMYA URUNLERI SANAYI DIS TICARET LIMITED SIRKETI,Istanbul Turkey,,YAKAMOZ GENERAL TRADING LLC
1,YAKAMOZ GROUP,STIRLING BRIDGE CHEMICALS TRADING L.L.C,"Dubai, United Arab Emirates",STIRLING BRIDGE GENERAL TRADING,"Haikou, China",,STIRLING BRIDGE CHEMICALS TRADING L.L.C
1,YAKAMOZ GROUP,TRUVA GENERAL TRADING LLC,"Dubai, United Arab Emirates",TRUVA GENERAL TRADING,"Shanghai, China",,TRUVA GENERAL TRADING LLC
1,YAKAMOZ GROUP,SERAY FURNITURES TRADING LLC,"Dubai, United Arab Emirates",SERAY GENERAL TRADING,"Jiangsu, China",,SERAY FURNITURES TRADING LLC
1,YAKAMOZ GROUP,NORTH SEA FZE,"Dubai, United Arab Emirates",ANHUI ANSON PETROCHEMICAL EQUIPMENT CO LTD,"Jiangsu, China",,NORTH SEA FZE
1,YAKAMOZ GROUP,MATTERHORN FZE,"Sharjah, United Arab Emirates",ANGELMERCY GENERAL TRADING CO,"Zhejiang,China",,MATTERHORN FZE
1,YAKAMOZ GROUP,MNR TRADING FZE,"Sharjah, United Arab Emirates","ANHUI CHI,TECH GENERAL TRADING CO. LTD","Anhui, China",,MNR TRADING FZE
1,YAKAMOZ GROUP,FRONTIER INDUSTRIAL EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates",ZHENGZHOU UNIQUE INDUSTRIAL EQUIPMENT CO LTD,"Henan, China",,FRONTIER INDUSTRIAL EQUIPMENT TRADING LLC
1,YAKAMOZ GROUP, ELING HEAVY EQUIPMENTS & MACHINERY TRADING LLC,"Dubai, United Arab Emirates","ZHONGSHI LUOYANG HEAVY,DUTY MACHINERY CO.,LTD","Henan, China",, ELING HEAVY EQUIPMENTS & MACHINERY TRADING LLC
1,YAKAMOZ GROUP, SOUTH OIL & GAS TRADING FZE,"Sharjah, United Arab Emirates","CHINA PETROLEUM NATURAL GAS GROUP
","Hellongjiang, China",, SOUTH OIL & GAS TRADING FZE
1,YAKAMOZ GROUP, CINERGY PLASTIC & NYLON RAW MATERIALS TRADING LLC,"Dubai, United Arab Emirates",HANGZHOU JUHESHUN NEW MATERIAL CO LTD,"Zheijiang, China",, CINERGY PLASTIC & NYLON RAW MATERIALS TRADING LLC
1,YAKAMOZ GROUP, QUNTUM BUILDING MATERIALS TRADING LLC ,"Dubai, United Arab Emirates","SUQIAN STRONGER BUILDING MATERIAL CO.,LTD","Jiangsu, China",, QUNTUM BUILDING MATERIALS TRADING LLC 
1,YAKAMOZ GROUP, FRONTIER NON EDIBLE OIL & LIQUEFIED NATURAL GAS TRADING LLC,"Dubai, United Arab Emirates",MYANDE GROUP CO LTD,"Jiangsu, China",, FRONTIER NON EDIBLE OIL & LIQUEFIED NATURAL GAS TRADING LLC
2,BEYLERBEYI GROUP,BEYLERBEYI GENERAL TRADING L.L.C,"Dubai, United Arab Emirates",TIANJIN KAIGUI MACHINERY CO.LTD,"Tianjin, China",,BEYLERBEYI GENERAL TRADING L.L.C
2,BEYLERBEYI GROUP,KANNUR INDUSTRIAL PLANT EQUIPMENT & SPARE PARTS TRADING L.L.C,"Dubai, United Arab Emirates",KANNUR GENERAL TRADING S.A.,"Andalucia, Spain",,KANNUR INDUSTRIAL PLANT EQUIPMENT & SPARE PARTS TRADING L.L.C
2,BEYLERBEYI GROUP,ELYSEE GENERAL TRADING LLC,"Dubai, United Arab Emirates","SHANGHAI LINGUANG TRADING CO., LTD,",Shanghai  China,,ELYSEE GENERAL TRADING LLC
2,BEYLERBEYI GROUP,D E V INDUSTRIAL PLANT EQUIPMENT & SPARE PARTS TRADING L.L.C,"Dubai, United Arab Emirates","SHANDONG ZHAOJIN MOTIAN CO., LTD .","Shandong, China",,D E V INDUSTRIAL PLANT EQUIPMENT & SPARE PARTS TRADING L.L.C
2,BEYLERBEYI GROUP,YEDI TEPE BUILDING MATERIALS TRADING L.L.C,"Dubai, United Arab Emirates",GRAVINA TUFI ,"Puglia, Italy",,YEDI TEPE BUILDING MATERIALS TRADING L.L.C
2,BEYLERBEYI GROUP,BEYZADE GENERAL TRADING L.L.C.,"Dubai, United Arab Emirates",SHANGHAI SEVEN BENEVOLENCE INTERNATIONAL TRADE CO. LTD.,"Shanghai, China",,BEYZADE GENERAL TRADING L.L.C.
2,BEYLERBEYI GROUP,BEYZADE PETRA OLIUM EQUIPTECH FZE,"Dubai, United Arab Emirates",LCL PETROLEUM PTE LTD,"Singapore, Singapore",,BEYZADE PETRA OLIUM EQUIPTECH FZE
2,BEYLERBEYI GROUP,TURBO WOLF GENERAL TRADING LLC,"Dubai, United Arab Emirates",CHANGZHOU KYA TRADING CO LTD,"Jiangsu, China",,TURBO WOLF GENERAL TRADING LLC
3,MARCELO GROUP,DAY & NIGHT GENERAL TRADING L.L.C,"Dubai, United Arab Emirates",KINSAJASA SDN. BHD,"Sarawak, Malaysia",,DAY & NIGHT GENERAL TRADING L.L.C
3,MARCELO GROUP,SAND BOX TRADING L.L.C,"Dubai, United Arab Emirates",SAND BOX GENERAL TRADING ,"Hongkong, China",,SAND BOX TRADING L.L.C
3,MARCELO GROUP,MARCELLO GENERAL TRADING L.L.C,"Dubai, United Arab Emirates","FOSHAN JINHUI ALUMINUM PLATE CURTAIN WALLS CO., LTD ",Guangdong China,,MARCELLO GENERAL TRADING L.L.C
3,MARCELO GROUP,PRECISION VISION HEAVY EQUIPMENT & MACHINERY TRADING L.L.C,"Dubai, United Arab Emirates",PRECISION VISION EQUIPMENT SDN BHD,"Penang, Malaysia",,PRECISION VISION HEAVY EQUIPMENT & MACHINERY TRADING L.L.C
3,MARCELO GROUP,STRONG VIEW TRADING FZE,"Ras Al Khaimah, United Arab Emirates",ZHONGSHAN LIQIN TRADE CO LTD,"Guandong, China",,STRONG VIEW TRADING FZE
3,MARCELO GROUP,HORIZONE LINE GENERAL TRADING LLC,"Dubai, United Arab Emirates",TANGSHAN YIFEI TRADING CO.,"Tangshan City,China",,HORIZONE LINE GENERAL TRADING LLC
3,MARCELO GROUP,BRIGHT POINT HEAVY EQUIPMENT TRADING LLC,"Dubai, United Arab Emirates",SANDBOX GENERAL TRADING LIMITED,"Hong Kong, China",,BRIGHT POINT HEAVY EQUIPMENT TRADING LLC
4,GHAZAL,AYON AL GHAZAL GENERAL TRADING LLC,"Dubai, United Arab Emirates","BOTOU XINBO IMPORT & EXPORT CO., LTD,","Hebei, China",,AYON AL GHAZAL GENERAL TRADING LLC
5,TEKNONEFT,NOOR ALOFOQ GENERAL TRADING LLC,"Dubai, United Arab Emirates",SHAROF RASHIDOV EXPORT LLC ,"Tashkent, Uzbekistan",,NOOR ALOFOQ GENERAL TRADING LLC
5,TEKNONEFT,TEKNONEFT FZE,"Dubai, United Arab Emirates",SHAROF RASHIDOV EXPORT LLC,"Tashkent, Uzbekistan",,TEKNONEFT FZE
5,TEKNONEFT,SMART STAR MACHINERY TRADING LLC,"Dubai, United Arab Emirates",KAITO CONSTRUCTION MACHINERY CO. LTD,"Jiangsu, China",,SMART STAR MACHINERY TRADING LLC
5,TEKNONEFT,TEKNONEFT GENERAL TRADING LLC,"Dubai, United Arab Emirates",SHAROF RASHIDOV EXPORT LLC ,"Tashkent, Uzbekistan",,TEKNONEFT GENERAL TRADING LLC
6,NOSHAN,BERIVAN GENERAL TRADING LLC,"Dubai, United Arab Emirates","QINGDAO JIAHEXIN STEEL CO., LTD ,","Qingdao, China",,BERIVAN GENERAL TRADING LLC
6,NOSHAN,MAYAN GENERAL TRADING LLC,"Dubai, United Arab Emirates","ONAHAMA PRETROLEUM CO., LTD ","Fukushima, Japan",,MAYAN GENERAL TRADING LLC
6,NOSHAN,NOSHAN GENERAL TRADING LLC. ,"Dubai, United Arab Emirates",TARTIIB GENERAL TRADING SDN BHD ,"Kuala Lumpur, Malaysia",,NOSHAN GENERAL TRADING LLC. 
6,NOSHAN,ALAM INTERNATIONAL FZE,"Dubai, United Arab Emirates",SINOCHEM GROUP,"Beijing, China",,ALAM INTERNATIONAL FZE
