refrence,COMPANY NAME,CO.City,SOURCE COMPANY,SourceCo.City,TYPE OF TRANSACTION,MONTH,TYPE OFProducts,date,amount,currency,exporter/repExporter,country
SB1429,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2019,1,17/01/2019,55000,AED,A T S HEAVY EQUIPMENT AND MACHINERY SPARE PARTS TRADING LLC,Dubai- UAE
SB1430,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2020,1,17/01/2019,248671,AED,ANA GENERAL TRADING LLC,Dubai- UAE
SB1463,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2021,35,27/01/2019,1828466,AED,APEX TECHNOLOGY FZCO,Dubai- UAE
SB1447,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2022,1,23/01/2019,288801,AED,AVRASYA TRADING FZE,Dubai- UAE
SB1416,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2023,45,43709,266550,AED,BEAUTY SKY SERVICES LLC,Dubai- UAE
SB1453,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2024,1,24/01/2019,1000000,AED,BEYZADE PETRA OLIUM EQUIPMENT FZE,Dubai- UAE
SB1454,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2025,1,24/01/2019,250000,AED,C STAR GENERAL TRADING LLC,Dubai- UAE
SB1415,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2026,45,43678,1480000,AED,CHEMI TECHNO FZE,Dubai- UAE
SB1475,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2027,1,31/01/2019,2457216,AED,CHEMI TECHNO FZE,Dubai- UAE
SB1469,STIRLING BRIDGE CHEMICALS TRADING L.L.C,Dubai- UAE,STIRLING BRIDGE GENERAL TRADING,Haikou- China,GOODS IN TRUST,JANURARY  2028,1,28/01/2019,121446,AED,CIS PETRO LLC,Dubai- UAE
