REF,repExporter,cityOfRepExporter,exporter,cityOfExporter,importer,cityOfImporter,repImporter,cityOfrepImporter,Origin,laoding,Discharge,totalAmount,amountToWord,p1name,p1qty,p1unit,p1unitp,p1total,p2name,p2qty,p2unit,p2unitp,p2total,p3name,p3qty,p3unit,p3unitp,p3total,p4name,p4qty,p4unit,p4unitp,p4total,p5name,p5qty,p5unit,p5unitp,p5total,numOfClient,currency,date
G-BBY-0108,,, BREACKER AG   ,SWITZERLAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: SWITZERLAND,Loading: SWITZERLAND,Discharge: Tianjin- China,16953,Sixteen Thousand Nine Hundred Fifty Three Euros only,Rock Wool Board Heat Insulation,302.0,CUBIC METRE,56.13576158940398,16953.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0130,,, CHEMEM COMPANY LIMITED   ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,120670,One Hundred Twenty Thousand Six Hundred Seventy Euros only,Thermal Insulation Building Construction Decorative Materials,1206.0,MS,100.05804311774462,120670.0,,,,,,,,,,,,,,,,,,,,,,EURO,27/01/2019
G-BBY-0007, CIELO OESTE GENERAL TRADING FZE                      ,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,192051,One Hundred Ninety Two Thousand Fifty One Dirhams only,High Corrosion Resistant Aluminum Magnesium Manganese Buildingآ Materialآ Roof Plate,8350.0,MS,23.00011976047904,192051.0,,,,,,,,,,,,,,,,,,,,,,AED,10/1/2019
G-BBY-0053,,, CIOTOLA S.R.L   ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,37514,Thirty Seven Thousand Five Hundred Fourteen Euros only,PVC Sliding Door,1071.0,SQUARE METERS,35.027077497665736,37514.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0116,,, CRYSMIT PHOTONICS LIMITED,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,1557,One Thousand Five Hundred Fifty Seven Euros only,Wrinkle PPGI,2.0,TONS,778.5,1557.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0111,,, FALLER BARS LIMITED       ,UNITED KINGDOM,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: UNITED KINGDOM,Loading: UNITED KINGDOM,Discharge: Tianjin- China,8502,Eight Thousand Five Hundred Two Euros only,88025 Hot Selling Polyurethane 3D Wall Panel,850.0,PCS,10.00235294117647,8502.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0038,,, GIT HONG KONG LIMITED      ,HONGKONG,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: HONGKONG,Loading: HONGKONG,Discharge: Tianjin- China,73515,Seventy Three Thousand Five Hundred Fifteen Euros only,0.15-0.8mm Cold Rolled Galvanized Steel Coil,133.0,TONS,552.7443609022556,73515.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0075,,, GREEN INDUSTRIES (HONG KONG) LIMITED,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,37000,Thirty Seven Thousand Euros only,Black/Brown Film Faced Plywood WBP Glue,112.0,CBS,330.35714285714283,37000.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
G-BBY-0103,,, HAINING FUXING COMPUND NEW MATERIAL CO LTD,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,106243,One Hundred Six Thousand Two Hundred Forty Three Euros only,FRP/GRP Gratings  Fiberglass Gratings  FRP Molded Gratings  Transparent Grating,1084.0,SQUARE METERS,98.01014760147602,106243.0,,,,,,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0068,,, KUIBURI FRUIT CANNING CO- LTD,THAILAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: THAILAND,Loading: THAILAND,Discharge: Tianjin- China,29120,Twenty Nine Thousand One Hundred Twenty Euros only,Acoustic Formaldehyde,1941.0,SQUARE METERS,15.002575991756826,29120.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
