p_name,unit,dollar,dirham,euro,type,tradingTypeCode
Meat Bone Meal Pet Food Animal Food,TONS,460,1688.2,395.6,ANIMAL FOOD,22
Animal Food Feed Grade DCP,TONS,300,1101,258,ANIMAL FOOD,22
Food Grade Milk Powder Replacer for Pigs,TONS,2000,7340,1720,ANIMAL FOOD,22
"Meat Bone Meal Animal Food Health Feed
",TONS,460,1688.2,395.6,ANIMAL FOOD,22
Fish Meal Poultry Food Animal Feed,TONS,500,1835,430,ANIMAL FOOD,22
Additives High Allicin Garlic Granules,TONS,1900,6973,1634,ANIMAL FOOD,22
Feed Grade Fish Meal,TONS,500,1835,430,ANIMAL FOOD,22
Protein Powder Animal Food Corn Gluten Meal,TONS,960,3523.2,825.6,ANIMAL FOOD,22
Feed Grade Dicalcium Phosphate,TONS,300,1101,258,ANIMAL FOOD,22
Corn Gluten Meal Animal Food High Quality New Product,TONS,960,3523.2,825.6,ANIMAL FOOD,22
Feed Grade DCP 18%,TONS,300,1101,258,ANIMAL FOOD,22
Fish Meal Livestocks Food,TONS,500,1835,430,ANIMAL FOOD,22
Fish Meal Protein Powder,TONS,600,2202,516,ANIMAL FOOD,22
Lysine HCl 98.5% for Animal Nutrition,TONS,1125,4128.75,967.5,ANIMAL FOOD,22
Animal Feed Additives 98.5% L-Threonine,TONS,2800,10276,2408,ANIMAL FOOD,22
Feed Grade Lysine HCl 98. % for Animal,TONS,1200,4404,1032,ANIMAL FOOD,22
Mono-Dicalcium Phosphate,TONS,350,1284.5,301,ANIMAL FOOD,22
72%Fish Meal for Fish Pig,TONS,500,1835,430,ANIMAL FOOD,22
Animal Farm Feed Storage Silo,PCS,3500,12845,3010,ANIMAL FOOD,22
Lysine Feed Additives Animal Food L-Lysine,TONS,1300,4771,1118,ANIMAL FOOD,22
L-Threonine 98.5% (FEED GRADE),TONS,1460,5358.2,1255.6,ANIMAL FOOD,22
Garlic Powder (100-120) Animal Feed,TONS,2600,9542,2236,ANIMAL FOOD,22
Fat Powder for Milk Replacer or in-Filling,TONS,2000,7340,1720,ANIMAL FOOD,22
Additive Grade HCl Sulfate L Lysine 98.5%,TONS,1200,4404,1032,ANIMAL FOOD,22
"Animal Poultry Feed Pemix and Additive
",TONS,2000,7340,1720,ANIMAL FOOD,22
Non Dairy Creamer Feed Addittive ,TONS,1000,3670,860,ANIMAL FOOD,22
Feed Additives L-Lysine Animal Fodder 98.5%,TONS,1200,4404,1032,ANIMAL FOOD,22
Wheat Gluten Flour Meal,TONS,1380,5064.6,1186.8,ANIMAL FOOD,22
Hot Ganlvanized Steel Grain Storage Silo,PCS,5000,18350,4300,ANIMAL FOOD,22
"18% TCP Tricalcium Phosphate 
",TONS,850,3119.5,731,ANIMAL FOOD,22
High Quality Corn Gluten Meal,TONS,1000,3670,860,ANIMAL FOOD,22
Fat Filled Dairy Blend,TONS,2000,7340,1720,ANIMAL FOOD,22
Silica as Free Flow Agent for Animal Nutrition,TONS,800,2936,688,ANIMAL FOOD,22
Garlic Powder (100-120) Animal Feed Grade,TONS,2600,9542,2236,ANIMAL FOOD,22
L-Threonine 98.5% Feed Grade (Animal Feed),TONS,1460,5358.2,1255.6,ANIMAL FOOD,22
Calcium Amino Acid Chelate Feed Additive for Aquatic Animal,TONS,2200,8074,1892,ANIMAL FOOD,22
Amino Acid L-Lysine Animal Feed,TONS,1500,5505,1290,ANIMAL FOOD,22
Animal Food Feed Grade L-Lysine 98.5%,TONS,1200,4404,1032,ANIMAL FOOD,22
L-Threonine 98.5% Feed Grade,TONS,1460,5358.2,1255.6,ANIMAL FOOD,22
Ingredient Lysine Hydrochloride 98.5% for Feed Additives,TONS,1125,4128.75,967.5,ANIMAL FOOD,22
Feed Grade Amino Acid Threonine,TONS,1200,4404,1032,ANIMAL FOOD,22
"Methionine Zinc for Animal Feed Aquatic Feed
",TONS,6000,22020,5160,ANIMAL FOOD,22
L-Threonine 98.5% Feed Grade ,TONS,1460,5358.2,1255.6,ANIMAL FOOD,22
L-Threonine 98.5% (FEED GRADE) for Animal Feed,TONS,1460,5358.2,1255.6,ANIMAL FOOD,22
Feed Grade Animal Feed Additives 98.5% L-Threonine,TONS,2100,7707,1806,ANIMAL FOOD,22
Additives Methionine/Lysine/ Lysine Methionine,TONS,4500,16515,3870,ANIMAL FOOD,22
Non Dairy Creamer Feed Addittive for Pet,TONS,2000,7340,1720,ANIMAL FOOD,22
L-Threonine98.5% Feed Grade,TONS,1460,5358.2,1255.6,ANIMAL FOOD,22
Amino Acid Lysine Hydrochloride 98.5% in Feed Industry,TONS,1125,4128.75,967.5,ANIMAL FOOD,22
0.125-3.0mm Building Material Gi Galvanized Steel Coil,TONS,600,2202,516,BUILDING (2),1
0.12-6.0mm Dx51d Steel Material Galvanized Steel Coil,TONS,850,3119.5,731,BUILDING (2),1
0.15*665mm Ral3009 PPGI Corrugated Prepainted Steel Roofing Sheet,TONS,820,3009.4,705.2,BUILDING (2),1
0.15-0.8mm Cold Rolled Galvanized Steel Coil,TONS,550,2018.5,473,BUILDING (2),1
100X100mm Carbon Steel Square Tube,TONS,650,2385.5,559,BUILDING (2),1
12mm Building Material Artificial Stone Acrylic Solid Surface Corian,PCS,120,440.4,103.2,BUILDING (2),1
12mm Building Material Big Slab Marble Like Veining Pattern Acrylic Artificial Stone Solid Surface,PCS,129,473.43,110.94,BUILDING (2),1
150kg/M3 Insulation Board Rockwool with 80% Basalt,TONS,925,3394.75,795.5,BUILDING (2),1
18mm Thickness Other Plastic Building Materials Type PVC Foam Sheet,PCS,20,73.4,17.2,BUILDING (2),1
201 304 316 Stainless Steel Plate,TONS,650,2385.5,559,BUILDING (2),1
2017آ Buildingآ Materialآ Rapid Rolling High Speed Roller Shutter Doors (Hz-FC061),PCS,1200,4404,1032,BUILDING (2),1
25mm White Color Marble Honeycomb Panel,SQUARE METERS,60,220.2,51.6,BUILDING (2),1
3003h24 Flat Aluminum Sheet Metalآ Buildingآ Construction Material,SQUARE METERS,68,249.56,58.48,BUILDING (2),1
300mm PVC Decorative Ceiling Panels,SQUARE METERS,8,29.36,6.88,BUILDING (2),1
316 Grade Stainless Steel Round Bar,TONS,3888,14268.96,3343.68,BUILDING (2),1
4pcf EVA Foam Sheet,SQUARE METERS,260,954.2,223.6,BUILDING (2),1
600*600mm Rustic Floor Porcelain Tile(OLG600),M3,9,33.03,7.74,BUILDING (2),1
600X1200mmآ Polished Porcelain Floor Tile & Wall Tile,SQUARE METERS,13.22,48.52,11.37,BUILDING (2),1
600X600mm Rough Surface Porcelain Beige Color 2cm Thick Tile,SQUARE METERS,19.44,71.34,16.72,BUILDING (2),1
80X40X2.0mm-380X110X4.0mm C Channel C Purlin,TONS,650,2385.5,559,BUILDING (2),1
88025 Hot Selling Polyurethane 3D Wall Panel,PCS,10,36.7,8.6,BUILDING (2),1
A36 Carbon Checkered Floor Steel Plate/Ms Checkered Plate,TONS,700,2569,602,BUILDING (2),1
Acoustic Decorative Ceiling Tiles,SQUARE METERS,50,183.5,43,BUILDING (2),1
Acoustic Formaldehyde,SQUARE METERS,15,55.05,12.9,BUILDING (2),1
ACP Acm Fireproofآ Buildingآ Constructionآ Materials,SQUARE METERS,10,36.7,8.6,BUILDING (2),1
Aluminium Bi-Fold Door and Glass Accordion Door,PCS,350,1284.5,301,BUILDING (2),1
Aluminium Extrusionآ Buildingآ Materialآ Horizontal Sliding Windows,SQUARE METERS,70,256.9,60.2,BUILDING (2),1
Aluminium Profile,TONS,2300,8441,1978,BUILDING (2),1
Aluminium Sliding Door Security Doors with Double Glazing,SQUARE METERS,100,367,86,BUILDING (2),1
Aluminium Tilt & Turn Window,SQUARE METERS,100,367,86,BUILDING (2),1
Aluminum Awing Windows with Timber Reveal Install,SQUARE METERS,100,367,86,BUILDING (2),1
Aluminum Claddingآ Buildingآ Materialآ Aluminum Composite Plastic Sheet,SQUARE METERS,7,25.69,6.02,BUILDING (2),1
Aluminum Curtain Wall Panel,SQUARE METERS,60,220.2,51.6,BUILDING (2),1
Aluminum Panels,SQUARE METERS,60,220.2,51.6,BUILDING (2),1
Aluminum Stair Handrail Railing Fence Balustrade,PCS,10,36.7,8.6,BUILDING (2),1
ANSI Certifiedآ Buildingآ Material/Constructionآ High Quality Fire Retardant Safety Netting (CSSN),PCS,52,190.84,44.72,BUILDING (2),1
Artificial Quartz Stone with SGS Standards (black Calacatta),PCS,60,220.2,51.6,BUILDING (2),1
Artificial Quartz STONSe forآ Buildingآ Materialآ with SGS Report & Ce Certificate (Calacatta),SQUARE METERS,120,440.4,103.2,BUILDING (2),1
Asbestos Free Australia Standard Mgso4 Wall Magnesium Oxide Board Fire Resistance,PCS,20,73.4,17.2,BUILDING (2),1
ASTM A53 ERW Welded Galvanized Steel Pipe,TONS,800,2936,688,BUILDING (2),1
ASTM Cold Rolled Stainless Steel Sheet Building Material (304  316  317  904  2205),TONS,6000,22020,5160,BUILDING (2),1
Automatic Hollow AAC Brick Making Machine,PCS,500000,1835000,430000,BUILDING (2),1
Big Size Luxury Full Body Marble Floor Tile,SQUARE METERS,40,146.8,34.4,BUILDING (2),1
Big Size Ultra Thin Marble Look Porcelain Ceramic Floor Tile,SQUARE METERS,70,256.9,60.2,BUILDING (2),1
Black/Brown Film Faced Plywood WBP Glue,CBS,330,1211.1,283.8,BUILDING (2),1
Brick Force Wire Mesh Welding Machine,SETS,12000,44040,10320,BUILDING (2),1
Building Construction Material Steel Frabrication Structure,SETS,90,330.3,77.4,BUILDING (2),1
Building Glass Aluminium Curtain Wall Material,TONS,2800,10276,2408,BUILDING (2),1
Buildingآ Materialsآ Prefabricated House Fireproof Magnesium Oxide MGO Board,PCS,16.88,61.95,14.52,BUILDING (2),1
Calacatta White Color Quartz STONSe Slabs Tiles/Engineered STONSe/Buildingآ Material/Artificial Quartz STONSe,SQUARE METERS,110,403.7,94.6,BUILDING (2),1
Ceiling / Wall Access Panel AP7710,PCS,10.09,37.03,8.68,BUILDING (2),1
