product	unit	Doller	Derham	Euro	code		
0.125-3.0mm Building Material Gi Galvanized Steel Coil	TONS	600	2202	516	1		
0.12-6.0mm Dx51d Steel Material Galvanized Steel Coil	TONS	850	3119.5	731	1		e
0.15*665mm Ral3009 PPGI Corrugated Prepainted Steel Roofing Sheet	TONS	820	3009.4	705.2	1		
0.15-0.8mm Cold Rolled Galvanized Steel Coil	TONS	550	2018.5	473	1		
100X100mm Carbon Steel Square Tube	TONS	650	2385.5	559	1		
12mm Building Material Artificial Stone Acrylic Solid Surface Corian	PCS	120	440.4	103.2	1		
12mm Building Material Big Slab Marble Like Veining Pattern Acrylic Artificial Stone Solid Surface	PCS	129	473.43	110.94	1		
150kg/M3 Insulation Board Rockwool with 80% Basalt	TONS	925	3394.75	795.5	1		
18mm Thickness Other Plastic Building Materials Type PVC Foam Sheet	PCS	20	73.4	17.2	1		
201 304 316 Stainless Steel Plate	TONS	650	2385.5	559	1		
2017 Building Material Rapid Rolling High Speed Roller Shutter Doors (Hz-FC061)	PCS	1200	4404	1032	1		
25mm White Color Marble Honeycomb Panel	SQUARE METERS	60	220.2	51.6	1		
3003h24 Flat Aluminum Sheet Metal Building Construction Material	SQUARE METERS	68	249.56	58.48	1		
300mm PVC Decorative Ceiling Panels	SQUARE METERS	8	29.36	6.88	1		
316 Grade Stainless Steel Round Bar	TONS	3888	14268.96	3343.68	1		
4pcf EVA Foam Sheet	SQUARE METERS	260	954.2	223.6	1		
600*600mm Rustic Floor Porcelain Tile(OLG600)	M3	9	33.03	7.74	1		
600X1200mm Polished Porcelain Floor Tile & Wall Tile	SQUARE METERS	13.22	48.5174	11.3692	1		
600X600mm Rough Surface Porcelain Beige Color 2cm Thick Tile	SQUARE METERS	19.44	71.3448	16.7184	1		
80X40X2.0mm-380X110X4.0mm C Channel C Purlin	TONS	650	2385.5	559	1		
88025 Hot Selling Polyurethane 3D Wall Panel	PCS	10	36.7	8.6	1		
A36 Carbon Checkered Floor Steel Plate/Ms Checkered Plate	TONS	700	2569	602	1		
Acoustic Decorative Ceiling Tiles	SQUARE METERS	50	183.5	43	1		
Acoustic Formaldehyde	SQUARE METERS	15	55.05	12.9	1		
ACP Acm Fireproof Building Construction Materials	SQUARE METERS	10	36.7	8.6	1		
Aluminium Bi-Fold Door and Glass Accordion Door	PCS	350	1284.5	301	1		
Aluminium Extrusion Building Material Horizontal Sliding Windows	SQUARE METERS	70	256.9	60.2	1		
Aluminium Profile	TONS	2300	8441	1978	1		
Aluminium Sliding Door Security Doors with Double Glazing	SQUARE METERS	100	367	86	1		
Aluminium Tilt & Turn Window	SQUARE METERS	100	367	86	1		
Aluminum Awing Windows with Timber Reveal Install	SQUARE METERS	100	367	86	1		
Aluminum Cladding Building Material Aluminum Composite Plastic Sheet	SQUARE METERS	7	25.69	6.02	1		
Aluminum Curtain Wall Panel	SQUARE METERS	60	220.2	51.6	1		
Aluminum Panels	SQUARE METERS	60	220.2	51.6	1		
Aluminum Stair Handrail Railing Fence Balustrade	PCS	10	36.7	8.6	1		
ANSI Certified Building Material/Construction High Quality Fire Retardant Safety Netting (CSSN)	PCS	52	190.84	44.72	1		
Artificial Quartz Stone with SGS Standards (black Calacatta)	PCS	60	220.2	51.6	1		
Artificial Quartz STONSe for Building Material with SGS Report & Ce Certificate (Calacatta)	SQUARE METERS	120	440.4	103.2	1		
Asbestos Free Australia Standard Mgso4 Wall Magnesium Oxide Board Fire Resistance	PCS	20	73.4	17.2	1		
ASTM A53 ERW Welded Galvanized Steel Pipe	TONS	800	2936	688	1		
"ASTM Cold Rolled Stainless Steel Sheet Building Material (304, 316, 317, 904, 2205)"	TONS	6000	22020	5160	1		
Automatic Hollow AAC Brick Making Machine	PCS	500000	1835000	430000	1		
Big Size Luxury Full Body Marble Floor Tile	SQUARE METERS	40	146.8	34.4	1		
Big Size Ultra Thin Marble Look Porcelain Ceramic Floor Tile	SQUARE METERS	70	256.9	60.2	1		
Black/Brown Film Faced Plywood WBP Glue	CBS	330	1211.1	283.8	1		
Brick Force Wire Mesh Welding Machine	SETS	12000	44040	10320	1		
Building Construction Material Steel Frabrication Structure	SETS	90	330.3	77.4	1		
Building Glass Aluminium Curtain Wall Material	TONS	2800	10276	2408	1		
Building Materials Prefabricated House Fireproof Magnesium Oxide MGO Board	PCS	16.88	61.9496	14.5168	1		
Calacatta White Color Quartz STONSe Slabs Tiles/Engineered STONSe/Building Material/Artificial Quartz STONSe	SQUARE METERS	110	403.7	94.6	1		
Ceiling / Wall Access Panel AP7710	PCS	10.09	37.0303	8.6774	1		
Ceramic Building Material Super Black Polished Porcelain Floor Tile 600X600mm	SQUARE METERS	3.6	13.212	3.096	1		
Ceramic Building Material Super White Polished Porcelain Floor Tile 600X600mm 800X800mm	SQUARE METERS	4.5	16.515	3.87	1		
CNC Machining Parts Aluminum Profile Extrusion	PCS	100	367	86	1		
Cold Rolled Metal Roof Sheet Galvalume Galvanized Prepainted Steel Coil PPGI	TONS	1000	3670	860	1		
Color Coated Corrugated Galvanized Steel Sheet	TONS	720	2642.4	619.2	1		
Colored Coated Aluminum / Aluminium Wall Cladding	TONS	3999	14676.33	3439.14	1		
Competitive Price Steel Structure Construction Hangar	SQUARE METERS	80	293.6	68.8	1		
Composite Reinforcement Floor Decking Sheet	TONS	800	2936	688	1		
Concept Wood Look Ceramic Floor Tiles (TRP912)	SQUARE METERS	8.8	32.296	7.568	1		
Construction Building Passenger Hoist	PCS	60000	220200	51600	1		
Corrugated Galvanized Steel Sheet Roofing Sheet	TONS	800	2936	688	1		
Corrugated PPGI Steel Roofing Sheet	YARDS	650	2385.5	559	1		
Corrugated Prime Cold Rolled Hot Dipped Zinc Prepainted Color Coated PPGI PPGL Galvalume Galvanized Steel Sheet	TONS	900	3303	774	1		
Corrugated Steel Roofing Sheet	TONS	900	3303	774	1		
Corrugated Steel Sheet/Roofing Tiles	TONS	880	3229.6	756.8	1		
Cost Price Color Coated Aluminum Coil	TONS	3500	12845	3010	1		
Countertop Material Engineered Artificial Crystal Quartz Stone Slab	PCS	47	172.49	40.42	1		
Customized Exterior Metal 3D Aluminum Facade Panels	SQUARE METERS	60	220.2	51.6	1		
Decoration Aluminium Profile	TONS	3000	11010	2580	1		
Decoration Materials Wall Panel Acoustic Panel Building Panel Fireproof Board	SQUARE METERS	50	183.5	43	1		
Decorative Building Material Stone Aluminum Honeycomb Panel	SQUARE METERS	90	330.3	77.4	1		
Deformed Steel Bar HRB335 HRB400 HRB500 Steel Rebar Rod Reinforcement Bar	TONS	600	2202	516	1		
Door Professional Manufacturer Durable and Full of Option	PCS	200	734	172	1		
Dx51d Bright Hot DIP Galvanized Steel Coil /Gi	TONS	700	2569	602	1		
Dx8364 En13501-5-2005+A1-2009 Horizontal Vertical Construction Materials Testing Equipment for Building Component	PCS	200000	734000	172000	1		
Eco Building Material 10-25mm Aluminum Honeycomb Panel	SQUARE METERS	50.32	184.6744	43.2752	1		
Economic Embossed Coated Aluminum Coil	TONS	2400	8808	2064	1		
