product,unit,Doller,Derham,Euro,code
0.125-3.0mm Building Material Gi Galvanized Steel Coil,TONS,600,2202,516,1
0.12-6.0mm Dx51d Steel Material Galvanized Steel Coil,TONS,850,3119.5,731,1
0.15*665mm Ral3009 PPGI Corrugated Prepainted Steel Roofing Sheet,TONS,820,3009.4,705.2,1
0.15-0.8mm Cold Rolled Galvanized Steel Coil,TONS,550,2018.5,473,1
100X100mm Carbon Steel Square Tube,TONS,650,2385.5,559,1
12mm Building Material Artificial Stone Acrylic Solid Surface Corian,PCS,120,440.4,103.2,1
12mm Building Material Big Slab Marble Like Veining Pattern Acrylic Artificial Stone Solid Surface,PCS,129,473.43,110.94,1
150kg/M3 Insulation Board Rockwool with 80% Basalt,TONS,925,3394.75,795.5,1
18mm Thickness Other Plastic Building Materials Type PVC Foam Sheet,PCS,20,73.4,17.2,1
201 304 316 Stainless Steel Plate,TONS,650,2385.5,559,1
2017 Building Material Rapid Rolling High Speed Roller Shutter Doors (Hz-FC061),PCS,1200,4404,1032,1
25mm White Color Marble Honeycomb Panel,SQUARE METERS,60,220.2,51.6,1
3003h24 Flat Aluminum Sheet Metal Building Construction Material,SQUARE METERS,68,249.56,58.48,1
300mm PVC Decorative Ceiling Panels,SQUARE METERS,8,29.36,6.88,1
316 Grade Stainless Steel Round Bar,TONS,3888,14268.96,3343.68,1
4pcf EVA Foam Sheet,SQUARE METERS,260,954.2,223.6,1
600*600mm Rustic Floor Porcelain Tile(OLG600),M3,9,33.03,7.74,1
600X1200mm Polished Porcelain Floor Tile & Wall Tile,SQUARE METERS,13.22,48.5174,11.3692,1
600X600mm Rough Surface Porcelain Beige Color 2cm Thick Tile,SQUARE METERS,19.44,71.3448,16.7184,1
80X40X2.0mm-380X110X4.0mm C Channel C Purlin,TONS,650,2385.5,559,1
88025 Hot Selling Polyurethane 3D Wall Panel,PCS,10,36.7,8.6,1
A36 Carbon Checkered Floor Steel Plate/Ms Checkered Plate,TONS,700,2569,602,1
Acoustic Decorative Ceiling Tiles,SQUARE METERS,50,183.5,43,1
Acoustic Formaldehyde,SQUARE METERS,15,55.05,12.9,1
ACP Acm Fireproof Building Construction Materials,SQUARE METERS,10,36.7,8.6,1
Aluminium Bi-Fold Door and Glass Accordion Door,PCS,350,1284.5,301,1
Aluminium Extrusion Building Material Horizontal Sliding Windows,SQUARE METERS,70,256.9,60.2,1
Aluminium Profile,TONS,2300,8441,1978,1
Aluminium Sliding Door Security Doors with Double Glazing,SQUARE METERS,100,367,86,1
Aluminium Tilt & Turn Window,SQUARE METERS,100,367,86,1
Aluminum Awing Windows with Timber Reveal Install,SQUARE METERS,100,367,86,1
Aluminum Cladding Building Material Aluminum Composite Plastic Sheet,SQUARE METERS,7,25.69,6.02,1
Aluminum Curtain Wall Panel,SQUARE METERS,60,220.2,51.6,1
Aluminum Panels,SQUARE METERS,60,220.2,51.6,1
Aluminum Stair Handrail Railing Fence Balustrade,PCS,10,36.7,8.6,1
ANSI Certified Building Material/Construction High Quality Fire Retardant Safety Netting (CSSN),PCS,52,190.84,44.72,1
Artificial Quartz Stone with SGS Standards (black Calacatta),PCS,60,220.2,51.6,1
Artificial Quartz STONSe for Building Material with SGS Report & Ce Certificate (Calacatta),SQUARE METERS,120,440.4,103.2,1
Asbestos Free Australia Standard Mgso4 Wall Magnesium Oxide Board Fire Resistance,PCS,20,73.4,17.2,1
ASTM A53 ERW Welded Galvanized Steel Pipe,TONS,800,2936,688,1
"ASTM Cold Rolled Stainless Steel Sheet Building Material (304, 316, 317, 904, 2205)",TONS,6000,22020,5160,1
Automatic Hollow AAC Brick Making Machine,PCS,500000,1835000,430000,1
Big Size Luxury Full Body Marble Floor Tile,SQUARE METERS,40,146.8,34.4,1
Big Size Ultra Thin Marble Look Porcelain Ceramic Floor Tile,SQUARE METERS,70,256.9,60.2,1
Black/Brown Film Faced Plywood WBP Glue,CBS,330,1211.1,283.8,1
Brick Force Wire Mesh Welding Machine,SETS,12000,44040,10320,1
Building Construction Material Steel Frabrication Structure,SETS,90,330.3,77.4,1
Building Glass Aluminium Curtain Wall Material,TONS,2800,10276,2408,1
Building Materials Prefabricated House Fireproof Magnesium Oxide MGO Board,PCS,16.88,61.9496,14.5168,1
Calacatta White Color Quartz STONSe Slabs Tiles/Engineered STONSe/Building Material/Artificial Quartz STONSe,SQUARE METERS,110,403.7,94.6,1
Ceiling / Wall Access Panel AP7710,PCS,10.09,37.0303,8.6774,1
Ceramic Building Material Super Black Polished Porcelain Floor Tile 600X600mm,SQUARE METERS,3.6,13.212,3.096,1
Ceramic Building Material Super White Polished Porcelain Floor Tile 600X600mm 800X800mm,SQUARE METERS,4.5,16.515,3.87,1
CNC Machining Parts Aluminum Profile Extrusion,PCS,100,367,86,1
Cold Rolled Metal Roof Sheet Galvalume Galvanized Prepainted Steel Coil PPGI,TONS,1000,3670,860,1
Color Coated Corrugated Galvanized Steel Sheet,TONS,720,2642.4,619.2,1
Colored Coated Aluminum / Aluminium Wall Cladding,TONS,3999,14676.33,3439.14,1
Competitive Price Steel Structure Construction Hangar,SQUARE METERS,80,293.6,68.8,1
Composite Reinforcement Floor Decking Sheet,TONS,800,2936,688,1
Concept Wood Look Ceramic Floor Tiles (TRP912),SQUARE METERS,8.8,32.296,7.568,1
Construction Building Passenger Hoist,PCS,60000,220200,51600,1
Corrugated Galvanized Steel Sheet Roofing Sheet,TONS,800,2936,688,1
Corrugated PPGI Steel Roofing Sheet,YARDS,650,2385.5,559,1
Corrugated Prime Cold Rolled Hot Dipped Zinc Prepainted Color Coated PPGI PPGL Galvalume Galvanized Steel Sheet,TONS,900,3303,774,1
Corrugated Steel Roofing Sheet,TONS,900,3303,774,1
Corrugated Steel Sheet/Roofing Tiles,TONS,880,3229.6,756.8,1
Cost Price Color Coated Aluminum Coil,TONS,3500,12845,3010,1
Countertop Material Engineered Artificial Crystal Quartz Stone Slab,PCS,47,172.49,40.42,1
Customized Exterior Metal 3D Aluminum Facade Panels,SQUARE METERS,60,220.2,51.6,1
Decoration Aluminium Profile,TONS,3000,11010,2580,1
Decoration Materials Wall Panel Acoustic Panel Building Panel Fireproof Board,SQUARE METERS,50,183.5,43,1
Decorative Building Material Stone Aluminum Honeycomb Panel,SQUARE METERS,90,330.3,77.4,1
Deformed Steel Bar HRB335 HRB400 HRB500 Steel Rebar Rod Reinforcement Bar,TONS,600,2202,516,1
Door Professional Manufacturer Durable and Full of Option,PCS,200,734,172,1
Dx51d Bright Hot DIP Galvanized Steel Coil /Gi,TONS,700,2569,602,1
Dx8364 En13501-5-2005+A1-2009 Horizontal Vertical Construction Materials Testing Equipment for Building Component,PCS,200000,734000,172000,1
Eco Building Material 10-25mm Aluminum Honeycomb Panel,SQUARE METERS,50.32,184.6744,43.2752,1
Economic Embossed Coated Aluminum Coil,TONS,2400,8808,2064,1
Electrophotetic Coating Black Aluminium Profile,TONS,2700,9909,2322,1
Environmental Building Material EPS Foam Insulated Roof/Wall Sandwich Panels,SQUARE METERS,19,69.73,16.34,1
Exterior Decorative Partition Panel Fiber Cement Boards,ROLLS,20,73.4,17.2,1
Exterior Safety Electric Motorized Thermal Insulated Security Overhead Sectional Garage Door,PCS,1200,4404,1032,1
Fabricated Building Material PU Sandwich Panel Building Steel & Structure,SQUARE METERS,40,146.8,34.4,1
Fabrication Painted/Galvanized Steel,SQUARE METERS,25,91.75,21.5,1
Facade Building Decorative Material ACP/Mcp/A2 Fr Aluminum Composite Panel,SQUARE METERS,35,128.45,30.1,1
Fast Construction Recycled EPS/PU/PIR/Rock Wool Sanwich Panel Materials,MS,12,44.04,10.32,1
Fiberglass/FRP/Plastic Grids,SQUARE METERS,25,91.75,21.5,1
Film Faced Plywood Shuttering Plywood Formwork for construction,CBM,600,2202,516,1
"Film Faced Plywood, Marine Plywood",SQUARE METERS,370,1357.9,318.2,1
Fireproof Insulation Rock Wool Sandwich Panel,SQUARE METERS,14,51.38,12.04,1
Fireproof Soundproof Spraying Cottonthermal Insulation,TONS,450,1651.5,387,1
Floor Tile and Wall Tile Outdoor Tile 800*800,SQUARE METERS,8.5,31.195,7.31,1
FRP Building Material Fiber-Reinforced Plastic Pultrusion Profiles,MS,10,36.7,8.6,1
"FRP Pultruded Box Section, FRP/GRP Pultrusion Profiles, Fiberglass Profiles",MS,35,128.45,30.1,1
"FRP/GRP Gratings, Fiberglass Gratings, FRP Molded Gratings, Transparent Grating",SQUARE METERS,98,359.66,84.28,1
FRP/GRP Protective Cable Pipe,KGS,30,110.1,25.8,1
Full Body Anti Slip Porcelain Glazed Tile Ceramic Flooring Tile Big Size 450X900mm,SQUARE METERS,9.5,34.865,8.17,1
Fully Automatic Building Material Light Weight EPS Sandwich Wall Panel Making Machine,SETS,2000000,7340000,1720000,1
Fully Automatic Reinforced Lintel Machine,SETS,9000,33030,7740,1
Gal Aluminium Windows and Doors,SETS,70,256.9,60.2,1
Galvanized Angle Bar,TONS,850,3119.5,731,1
Galvanized Purlin,TONS,800,2936,688,1
Galvanized Round Steel Pipe,TONS,680,2495.6,584.8,1
Glass Aluminum Sliding Door,SQUARE METERS,230,844.1,197.8,1
Gold Color Bulatti Double Loading Building Material Polished Porcelain Floor Tiles,SQUARE METERS,5.5,20.185,4.73,1
Good Price Building Material Artificial Quartz Stone,PCS,48,176.16,41.28,1
Green Building Material Exterior Paving Use Plastic Skirted Wood Decking,SQUARE METERS,33,121.11,28.38,1
Gypsum Block Production Line,SETS,100000,367000,86000,1
Heat Insulation Tube Building Material Pipe Glasswool,SETS,300,1101,258,1
High Corrosion Resistant Aluminum Magnesium Manganese Building Material Roof Plate,MS,23,84.41,19.78,1
High Quality 3-35mm PVC WPC Plastic Celuka Foam Board,TONS,1000,3670,860,1
High Quality Color Steel Roof Tile,SQUARE METERS,4,14.68,3.44,1
High Transparent Self-Extinguishing Acrylic Rod,TONS,700,2569,602,1
Hollow Stone Pillar Granite Roman Column,PCS,750,2752.5,645,1
Hot Dipped Corrugated Metal Roofing Roof Galvalume Galvanized Prepainted Color Coated PPGI,TONS,1000,3670,860,1
Hot Dipped Galvanized Steel (Hot rolled/Cold rolled) Coil,TONS,450,1651.5,387,1
Hot Prime Galvanized Steel Roofing Sheet,TONS,750,2752.5,645,1
Hot Rolled Prime Steel Prouducts Steel H Beam,TONS,600,2202,516,1
Hot Rolled U Shaped Steel Sheet Pile,TONS,750,2752.5,645,1
Hot sale 1220*2440*13mm building material film faced plywood,CBM,500,1835,430,1
Hot Sale Building Material Full Body Rustic Porcelain Matt Floor Tile (Z3500),M3,8,29.36,6.88,1
House Gate Interior Wooden Doors,PCS,200,734,172,1
Ideabond Building Material Pre-Painted Aluminium Strip,TONS,4300,15781,3698,1
Industrial PVC High Speed Shutter Door/Fast Shutter Door/High Speed PVC Roll up/Fold up Door,SETS,1550,5688.5,1333,1
Large Span Steel Structure H Beam Building Material,SQUARE METERS,50,183.5,43,1
"Light Steel Structure Prefabricated Carport, Warehouse, Workshop (Q345B/Q235B)",SQUARE METERS,25,91.75,21.5,1
Lightweight Stone Aluminum Honeycomb Panels,SQUARE METERS,99,363.33,85.14,1
Low Budget Modular Steel Structue Frame,SQUARE METERS,80,293.6,68.8,1
Machinery Lightweight Wall Panel Machine,TONS,10000,36700,8600,1
Material Hoist/Mini Hoist/Lift,PCS,33000,121110,28380,1
Medium Density Fiberboard,PCS,8,29.36,6.88,1
Mexico Rn100 Hydraulic Press Rolling Machine,SETS,8000,29360,6880,1
Modern Aluminum Sliding Door and Windows,SQUARE METERS,100,367,86,1
New Paneling Veins Series Artificial Quartz Slab Stone,PCS,47,172.49,40.42,1
OEM PE PVDF Aluminum Alloy Color Coated Prepainted Aluminium Coil,TONS,3999,14676.33,3439.14,1
PE PVDF Aluminium Compoaite Panel,SQUARE METERS,11,40.37,9.46,1
PE PVDF FEVE Coating Building Material Aluminum Composite Panel,SQUARE METERS,10,36.7,8.6,1
Plain HDF Cheap Price 1220mmx2440mmx1.6mm E1,PCS,12,44.04,10.32,1
Plaster Gypsum Powder Making Machine,SETS,2000000,7340000,1720000,1
Polyester Building Wall Decoration Material Aluminum Composite Panel,PCS,7,25.69,6.02,1
Poplar Film Faced Plywood/Marine Plywood,PCS,20,73.4,17.2,1
Popular Floor Deck Building Material Tile Making Machinery,SETS,28000,102760,24080,1
